Point Arng,Triangle Size,Extnesion,Spread,Limit,Symmetry Perp,Symmetry Par,OrthoNorm,Volume Object Enclosed,Volume,Energy
0,0.025119532,0.036009501,0.294690123,0.811478016,1.55E-05,2.31E-05,156.8037161,0.044832702,0.00274,78.136
0,0,1.161699538,0.490450703,0.644471427,8.45E-05,4.44E-05,98.65683128,1.79E-18,0.000548,66.39
0,0,0.0002735,0.980140971,1.083314663,3.11E-05,2.33E-05,87.9195533,3.10E-16,0,92.9901
0.495258885,8.54E-05,0.242463507,0.371084496,0.801292099,6.08E-05,1.34E-05,88.24469557,2.88E-05,0.00204,85.3377
0.648047604,0.000113556,0.419835513,0.371084496,0.785801018,5.27E-05,2.33E-05,114.9012963,1.27E-05,0.0042,87.5
0.837505531,3.61E-05,0.032118501,0.120704278,0.910790703,5.18E-05,5.70E-06,178.9371758,1.65E-05,0.00246,74.2856
0,0.002150029,5.70E-32,0.999239564,8.25E-17,0.00018842,0.000581568,151.727307,0,0,86.756
0.720695929,0.000112681,0.268698506,0.121346256,0.805111818,3.14E-05,1.19E-05,87.76853717,1.01E-05,0.00219,68.1134
0,0,0.420828513,0.21968011,0.389186894,1.43E-06,2.20E-05,90.93987859,1.74E-16,0,55.0682
0.725820317,0.000169929,0.0023765,0.166049372,0.74272308,3.31E-06,2.15E-05,90.94525845,4.43E-05,0.00377,62.0395
0,0.076414751,0.935988706,0.15355391,0.975187109,2.15E-05,2.54E-05,140.1476222,0.078831195,0.000644,68.4505
0,0,0.700437547,0.495486589,1.054976788,1.22E-06,9.65E-06,162.9708915,2.42E-17,0,69.3117
0.440619317,0.000183834,0.173498005,0.040648138,0.676302416,3.69E-06,1.97E-05,92.99654738,4.20E-05,0.00646,70.2005
0.054910673,1.45E-06,0.000278,0.977180933,1.145703402,7.43E-06,2.54E-05,91.99880833,9.73E-07,3.61E-06,86.1005
0,0.038585927,2.395587132,0.497450759,0.658999284,7.71E-05,6.18E-06,96.45810873,0.110140481,0,21.316
0,0.030585609,0.038850001,0.975366323,0.730839511,0.0001639,0.00060121,87.12493299,0,0.00271,110.1373
0.850932958,7.99E-05,0.071702002,0.154126816,0.826120272,1.47E-05,5.74E-06,158.2879054,2.92E-05,0.00342,85.1121
0,0,0.972879531,0.211422596,0.591631985,8.29E-06,5.01E-06,143.0108025,3.15E-16,0.000133,71.2523
0.967636589,8.29E-05,0.034902001,0.184873213,0.813600081,2.43E-05,2.29E-06,175.6994267,6.87E-05,0.00344,101.4259
0.717317212,4.88E-05,0.021546,0.189647861,0.888084597,1.08E-05,2.92E-05,109.0852053,3.85E-05,0.115,102.3256
0.882905089,0.00012808,0.232586007,0.390183089,0.671209457,9.62E-06,2.79E-06,144.0307462,4.44E-05,0.00693,88.1039
0.904384393,8.85E-05,0.019149501,0.390183089,0.797260175,2.05E-05,1.62E-05,133.1846547,4.10E-05,0.00308,85.89
0,0,1.048902962,0.495225352,0.991527017,3.20E-05,4.68E-06,133.8039142,0,0,19.081
