,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,
2D
30,0.8,0.6044,0.119,0.8503,0.6624,0.4898,0.1259,0.8163,0.9644,0.469,0.1209,0.8129,0.9928,0.4581,0.1438,0.813,0.9955,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
30,0.9,0.5787,0.1499,0.8333,0.5585,nan,nan,0.8495,0.9852,nan,nan,0.8446,0.9863,nan,nan,0.8432,0.9894,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.5,0.5509,0.0806,0.7717,0.6633,0.489,0.0517,0.754,0.9804,0.4708,0.0796,0.7533,0.9951,0.4665,0.071,0.7506,0.9937,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.6,0.5547,0.088,0.8013,0.6803,0.5303,0.0688,0.7678,0.978,0.4961,0.0614,0.7635,0.9958,0.4718,0.0573,0.7642,0.9981,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.7,0.5697,0.089,0.8111,0.7017,0.5259,0.0763,0.7742,0.9832,0.4656,0.0935,0.7711,0.9958,0.457,0.0899,0.7699,0.9967,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.8,0.6005,0.1299,0.8443,0.6391,0.498,0.1281,0.8185,0.9654,0.4721,0.1253,0.8152,0.993,0.4507,0.1432,0.8153,0.9957,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.9,0.5717,0.1237,0.8313,0.5288,nan,nan,0.8355,0.9764,nan,nan,0.8327,0.9897,nan,nan,0.8301,0.9918,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
3D
10,0.5,0.5767,0.0714,0.8158,0.6834,0.4937,0.0511,0.765,0.979,0.4676,0.0533,0.7616,0.9902,0.4476,0.0516,0.7611,0.9924,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.6,0.5629,0.0837,0.8075,0.7274,0.5084,0.0647,0.7735,0.9834,0.4702,0.0619,0.7697,0.996,0.4547,0.0646,0.7704,0.9978,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.7,0.59,0.1028,0.8405,0.6698,0.505,0.0633,0.7932,0.9831,0.466,0.0718,0.791,0.9917,0.4493,0.0672,0.7889,0.9942,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.8,0.6486,0.0746,0.8792,0.6387,0.536,0.0887,0.8262,0.9773,0.4874,0.1009,0.8229,0.996,0.4502,0.093,0.8225,0.9984,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.9,0.6695,0.1037,0.8803,0.5887,0.4777,0.1695,0.8537,0.9779,0.4421,0.1715,0.8491,0.9937,0.4091,0.163,0.8481,0.9929,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
