Point Arrangement,Volume Convex,Triangle Size,Extnesion,Spread,Limit,Symmetry1,Symmetry2,Orientation,Orthonormal,Volume,Volume,Epsilon,Energy
0.646509098,0,4.47E-05,6.00E-06,0.418830979,0.924371924,2.44E-06,3.49E-05,-49.91485202,-0.019054991,3.60E-05,0.000476,0,105.9723
0.915185569,0,0.000105967,0.0155985,0.180098564,0.788771911,3.76E-05,3.58E-06,-34.25611018,-0.998709382,8.59E-05,0.000607,0.0459,97.792
0,0,0,0.48098702,0.495225352,1.147074451,8.89E-05,3.30E-05,-45.3117277,-0.073969643,0.08621657,9.56E-05,0,87.0831
0.690406852,0,7.25E-05,0.161042005,0.480901407,0.779434821,4.76E-05,8.64E-06,40.11850622,-0.949908658,4.57E-05,0.000421,0,99.2903
0.815403613,0,9.30E-05,0.008802,0.490450703,0.721926834,3.37E-05,1.25E-05,-25.39642484,-0.696657943,5.19E-05,0.000527,0,93.4368
0,0.073135995,8.93E-16,0.152460504,0.08728174,0.847765344,7.44E-05,2.47E-05,39.87241901,0.35482875,3.35E-16,0.00197,0,103.6055
0.682130947,0,9.15E-05,0.068874002,0.5,0.707284579,1.19E-05,1.53E-05,-50.08156709,-0.141038374,4.60E-05,0.000522,0.0188,85.4063
0,0.061150059,1.21E-15,0.546580517,0.495225352,0.434811311,8.31E-05,9.57E-06,35.12567665,-0.680936792,2.10E-19,0,0,48.6027
0.85622375,0,0.000155868,0.37570401,0.294690123,0.849462996,8.32E-05,1.43E-05,-49.9561913,-0.997946353,7.10E-06,0.00338,0,62.3053
0,0,0,0.036009501,0.294690123,0.811478016,1.55E-05,2.31E-05,-70.1827977,-0.919160888,0.044832702,0.00274,0,78.136
0,0.057167206,4.65E-17,1.161699538,0.490450703,0.644471427,8.45E-05,4.44E-05,65.09565185,-0.15051601,1.79E-18,0.000548,0,66.39
0,0,9.82E-16,0.0002735,0.980140971,1.083314663,3.11E-05,2.33E-05,-45.59688613,0.036302666,3.10E-16,0,0,92.9901
0.495258885,0,8.54E-05,0.242463507,0.371084496,0.801292099,6.08E-05,1.34E-05,44.97194184,0.03063105,2.88E-05,0.00204,0,85.3377
0.648047604,0,0.000113556,0.419835513,0.371084496,0.785801018,5.27E-05,2.33E-05,54.83144315,-0.421056335,1.27E-05,0.0042,0,87.5
0.837505531,0,3.61E-05,0.032118501,0.120704278,0.910790703,5.18E-05,5.70E-06,-65.04749267,-0.999827958,1.65E-05,0.00246,0,74.2856
0,0,0.002150029,5.70E-32,0.999239564,8.25E-17,0.00018842,0.000581568,34.57992979,-0.880703203,0,0,0,86.756
0.720695929,0,0.000112681,0.268698506,0.121346256,0.805111818,3.14E-05,1.19E-05,69.88274231,0.038936528,1.01E-05,0.00219,0.0265,68.1134
0,0.070681838,2.96E-15,0.420828513,0.21968011,0.389186894,1.43E-06,2.20E-05,70.01390081,-0.01640324,1.74E-16,0,0,55.0682
0.725820317,0,0.000169929,0.0023765,0.166049372,0.74272308,3.31E-06,2.15E-05,71.04027466,-0.016497124,4.43E-05,0.00377,0.0669,62.0395
0,0,0,0.935988706,0.15355391,0.975187109,2.15E-05,2.54E-05,53.00004364,-0.767698036,0.078831195,0.000644,0,68.4505
0,0.092142239,2.09E-16,0.700437547,0.495486589,1.054976788,1.22E-06,9.65E-06,-89.0011485,-0.956156096,2.42E-17,0,0,69.3117
0.440619317,0,0.000183834,0.173498005,0.040648138,0.676302416,3.69E-06,1.97E-05,-87.02610027,-0.052275779,4.20E-05,0.00646,0.0213,70.2005
0.054910673,0,1.45E-06,0.000278,0.977180933,1.145703402,7.43E-06,2.54E-05,2.000027114,-0.034878711,9.73E-07,3.61E-06,0,86.1005
0,0,0,2.395587132,0.497450759,0.658999284,7.71E-05,6.18E-06,45.97735065,-0.112476743,0.110140481,0,0,21.316
0,0,0.030585609,0.038850001,0.975366322,0.730839511,0.0001639,0.00060121,-40.25562116,0.05015833,0,0.00271,0,110.1373
0.850932958,0,7.99E-05,0.071702002,0.154126816,0.826120272,1.47E-05,5.74E-06,65.4069934,-0.929054501,2.92E-05,0.00342,0.0444,85.1121
0,0.082361635,1.97E-15,0.972879531,0.211422596,0.591631985,8.29E-06,5.01E-06,64.64200936,-0.798748962,3.15E-16,0.000133,0.001,71.2523
0.967636589,0,8.29E-05,0.034902001,0.184873213,0.813600081,2.43E-05,2.29E-06,66.75202344,-0.997184383,6.87E-05,0.00344,0.0407,101.4259
0.717317212,0,4.88E-05,0.021546,0.189647861,0.888084597,1.08E-05,2.92E-05,-34.70894418,-0.326973886,3.85E-05,0.115,0.00997,102.3256
0.882905089,0,0.00012808,0.232586007,0.390183089,0.671209457,9.62E-06,2.79E-06,44.60534555,-0.809332297,4.44E-05,0.00693,0,88.1039
0.904384393,0,8.85E-05,0.019149501,0.390183089,0.797260175,2.05E-05,1.62E-05,-25.84455175,-0.684351844,4.10E-05,0.00308,4.61E-18,85.89
0,0.075926536,1.97E-15,1.048902962,0.495225352,0.991527017,3.20E-05,4.68E-06,34.94359867,-0.69219248,0,0,0,19.081
