PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality, Hand_Qx, Hand_Qy, Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z, ObjectName, Object_Qx, Object_Qy, Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz, Start_Position,1.38E+18,Succ_Rate,
0.570021481,0.000212548,0.00465,1.48592,0.670360631,0.000113554,0.000107594,1.616483157,0.000115512,0.00653,0.0392,18.0248,-4.11908,0.011053563,0.733949907,-0.677855335,-0.041321874,0.417177329,-0.014691434,-0.214878896, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.5176454,0.000384212,0.0022295,1.45278,0.654020724,0.000116269,0.00010222,1.422838887,0.000121845,0.00135,0.0135,24.8841,-1.39271,0.031673135,-0.675778518,0.722419987,-0.142932044,0.409909262,-0.013214361,-0.209726224, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,7,
0.551597535,0.000221466,0.0005585,1.52508,0.651474244,0.000113025,0.000106652,1.183100716,7.80E-05,0.00676,0.0258,24.56,-2.7787,0.157904859,0.716260172,-0.669716114,0.116265853,0.420904106,-0.009362934,-0.209277307, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,0,
0.458894691,6.91E-05,0.037030501,1.40754,0.675453589,0.000117275,0.000105865,1.66971439,0.000101787,0.00551,0.0156,21.0757,-1.72856,0.084490147,0.734446738,-0.65804227,-0.142932763,0.429118784,-0.001750901,-0.213065123, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.553630068,6.87E-05,0.0206285,1.40437,0.679061101,0.000120705,0.000106046,2.306567501,6.60E-05,0.00547,0.0113,24.415,-1.29165,-0.193673784,0.686260432,-0.627958618,-0.311777259,0.422881539,-0.011599083,-0.213593109, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.565397322,0.000269588,0.0135645,1.09907,0.736569089,0.000108609,0.000111077,1.64856659,8.75E-05,0.000769,-2.00E+05,25.7539,2.00E+07,0.106853747,0.582735281,0.801592195,0.080323237,0.398310681,-0.005008896,-0.224231918, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,8,
0.471457291,0.000123777,0.0012545,1.47879,0.654657344,0.000133396,0.000100917,1.747721177,3.86E-05,0.00109,0.00665,30.9325,-0.698104,-0.001542797,-0.664305331,0.735317578,0.134179381,0.424377169,-0.024454076,-0.190950771, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.942589659,1.43E-05,0.040074001,1.35155,0.76139726,0.00012982,0.000119019,2.880719096,1.13E-05,0.00759,-2.00E+05,21.1725,2.00E+07,0.358691581,0.656324543,0.444027298,-0.493374303,0.416066776,-0.011402369,-0.224944164, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.521017213,0.000219816,0.000806,1.50344,0.660386921,0.000114456,0.000106654,1.549030934,0.00012304,0.00644,0.0443,19.6212,-4.62388,-0.036704275,0.711961777,0.700948222,-0.020852186,0.418829805,0.019036465,-0.212328338, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,9,
0.552225599,0.000214694,0.0081965,1.49256,0.675665796,0.000111818,0.000103165,1.336086327,0.000119295,0.00666,0.0126,21.089,-1.45591,-0.109192338,0.695659293,0.707808832,0.056052111,0.417394672,0.003770409,-0.215346584, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.546392607,0.000253858,0.0002765,1.43375,0.65359631,0.000108715,0.000103171,1.321234051,7.03E-05,0.0169,0.0518,26.1993,-5.68558,-0.103039736,-0.699182983,0.703711327,-0.072913217,0.417680589,-0.016251494,-0.216194665, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,10,
0.709139061,6.42E-05,0.0088115,1.49944,0.672482697,0.000129475,0.000103961,2.558681026,6.30E-05,0.00713,0.0192,24.9056,-2.13647,0.286473551,0.604296093,0.632362398,-0.390994801,0.422630256,0.00849811,-0.227152321, cdcase,0.707106781,0.707106781,0,0,0.4175,5.42E-34,-0.295,0,1.38E+18,0,
0.820849346,4.34E-05,0.102693502,1.34585,0.855192575,0.000193334,9.16E-05,0.31678112,3.89E-06,0.000494,-2.00E+05,33.5823,2.00E+07,0.602363598,0.52810459,-0.392827801,0.45160819,0.33250064,-0.002445077,-0.118559036, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,0,
0.791668391,4.43E-05,0.013434501,0.76334,0.871108069,0.000172597,9.15E-05,1.238358698,2.10E-05,0.000394,-2.00E+05,36.1349,2.00E+07,0.123833668,0.872268546,-0.457038121,0.122184131,0.344953981,0.014318846,-0.154919749, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,10,
0.761683108,5.00E-05,0.065864002,0.840251,0.85858788,0.000164811,8.66E-05,1.229508513,2.37E-05,0.000353,-2.00E+05,30.6444,2.00E+07,-0.188623395,0.170783255,0.963416835,-0.084156379,0.351389023,0.006546006,-0.158931083, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,8,
0.066235675,9.44E-06,0.008978,1.46749,0.845643278,0.000201069,7.38E-05,3.046248596,6.21E-06,4.72E-05,-2.00E+05,36.6122,2.00E+07,0.593308958,0.345892668,0.654150184,-0.316907366,0.360698131,0.005719948,-0.132728151, coil,0.707106781,0.707106781,0,0,0.35,5.42E-34,-0.295,0,1.38E+18,10,
