PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality, Hand_Qx, Hand_Qy, Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z, ObjectName, Object_Qx, Object_Qy, Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz, Start_Position,1.39E+18,Succ_Rate,
0.736808459,0.000377056,0.0043205,0.737309,0.804899612,0.000181189,8.76E-05,1.29580056,5.61E-05,0.00119,-2.00E+05,22.9933,2.00E+07,0.194406958,0.400800026,0.624411041,0.641619923,0.385842339,0.014717074,-0.152649834, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.879040131,0.000443729,0.002318,0.763909,0.735508056,0.000176553,8.92E-05,1.21815739,8.32E-05,0.00158,-2.00E+05,25.8177,2.00E+07,0.115296309,-0.443343855,0.684217347,-0.567450094,0.385241354,-0.004675385,-0.155808267, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,9,
0.514015797,0.000173134,0.042612501,0.852394,0.804899612,0.00018125,8.89E-05,1.38824568,2.84E-05,0.000196,-2.00E+05,22.2591,2.00E+07,0.551160812,0.812147059,0.086740951,0.170630952,0.38417276,-0.016880529,-0.143743691, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.86831125,3.42E-05,0.0168395,1.00745,0.764368152,0.000170508,9.61E-05,1.527402696,6.16E-05,0.000277,-2.00E+05,27.6703,2.00E+07,-0.028866175,-0.015747057,0.938660261,0.343272034,0.384042634,-0.007914858,-0.143598317, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,3,
0.776078999,0.000334606,0.021128001,0.807404,0.733598196,0.000175551,0.00010439,1.392303823,2.42E-05,0.00102,-2.00E+05,27.4529,2.00E+07,-0.435305541,-0.60147149,0.604055553,0.289582495,0.389098076,-0.000580588,-0.143516338, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,6,
0.845546775,0.00036752,0.016150501,0.999698,0.725109932,0.00018126,8.12E-05,1.120923991,6.03E-05,0.000325,-2.00E+05,27.6408,2.00E+07,-0.448722182,0.573909959,-0.301922979,0.614913228,0.381453227,0.001271314,-0.155874808, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.911683618,7.98E-05,0.0122855,0.749201,0.796199142,0.0001751,9.64E-05,1.680887544,0.000104016,0.00013,0.0135,26.5914,-1.35701,0.049688544,-0.075136729,0.99315577,0.074344721,0.383736942,0.000743807,-0.137076471, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,9,
0.832043889,5.03E-05,0.0007505,0.838635,0.782193506,0.000182469,0.000105587,1.144322015,1.51E-05,0.000256,-2.00E+05,24.4417,2.00E+07,-0.23035047,-0.04234288,0.795054252,-0.559494841,0.38706376,-0.013991513,-0.147990801, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
0.709990024,0.000104346,0.055164502,0.941054,0.790257357,0.000174791,9.63E-05,1.415563298,3.86E-05,0.000182,-2.00E+05,28.4904,2.00E+07,-0.305850683,0.941639593,0.135335479,0.038138494,0.384491737,0.006799879,-0.13481011, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,8,
0.702167046,0.000324359,0.021979501,1.09526,0.744208526,0.000186833,0.00011066,1.182367531,1.72E-05,0.000254,-2.00E+05,28.5806,2.00E+07,0.552239841,0.285226492,-0.601882484,-0.501412486,0.384200613,-0.01229591,-0.141907897, waterbottle,0.707106781,0.707106781,0,0,0.38439,5.42E-34,-0.295,0,1.39E+18,10,
