Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used spaceball to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
45	0.346068031	2.40E-05	0.021078001	0	0.979757845	0.000169716	0.000101976	1.505442642	4.45E-08	4.39E-05	NaN	30.1618
46	0.80141651	8.50E-06	0.0271685	0.183	0.859012293	0.000155949	9.15E-05	1.342619923	4.44E-06	0.000189	NaN	35.5732
47	0	0.000417548	0.348084511	0.1273	0.770522144	0.000194993	0.000186412	1.60161685	0	0.00081	NaN	32.1039
48	0.094471157	2.38E-06	0.0074915	0	1.096683679	0.00010547	8.39E-05	1.448844834	1.89E-09	1.80E-05	NaN	25.9124
49	0.097609361	9.31E-07	0.0030395	0.1138	1.128514668	0.000123147	8.89E-05	1.581311945	1.02E-10	1.12E-05	NaN	26.0428
50	0.854983194	4.07E-05	0.0013205	0.006	0.858375674	0.000142328	9.78E-05	1.559394135	4.48E-06	8.10E-05	NaN	42.0223
51	0.773349145	2.12E-05	0.0108045	0	0.795138109	0.00013365	8.21E-05	1.714770375	8.06E-06	0.000135	NaN	73.9428
52	0.105586541	4.43E-06	0.015774501	0	1.059759732	0.000110067	8.02E-05	1.510439053	1.40E-09	1.74E-05	NaN	27.438
53	0	0.002758956	0.0003705	0	1.173290259	0.000174805	0.000173499	1.547000497	0.002758956	8.67E-06	NaN	24.8553
54	0.264270453	3.50E-06	0.003254	0	1.11960199	0.000160968	9.36E-05	1.591216302	2.85E-09	5.66E-06	NaN	26.9004
55	0	0	0.0017855	0.214	1.03556818	0.000295	0.00035	1.584339794	0	0	NaN	26.3244
56	0	0	0.554450192	0.08	0.922331575	0.00014626	0.000131927	1.618335465	2.18E-08	0.000536	0.0243	43.1834
57	0.915097959	2.85E-05	0.040708501	0.384	0.865166285	0.000177927	8.92E-05	1.685710153	3.16E-05	0.000162	NaN	41.3942
58	0.233089955	4.81E-06	0.011816001	0.137	1.090954101	0.000137438	9.85E-05	1.608681072	0	0	NaN	28.1861
59	0	0	0.075276502	0.086	1.053181328	0.00018022	0.000130116	1.756754443	1.95E-08	7.26E-05	NaN	25.593
60	0	0	0.84458249	1.573521992	1.040758947	0.000210942	0.000118288	1.605726992	3.51E-05	5.90E-06	NaN	90.7548
61	0	0.000825065	2.656431642	-0.017453293	0.97391387	0.000191616	0.000164156	1.240427253	4.77E-16	0.000211	NaN	73.2419
63	0.834765474	0.000435282	0.033301501	0.2892	0.543673294	0.000168047	8.68E-05	1.855940598	0.000195397	0.000888	NaN	21.5599
64	0.635917439	0.000134952	0.0002045	0	0.966176623	0.000203504	3.57E-05	1.643789842	1.45E-06	2.32E-05	NaN	54.761
65	0.854993827	0.000402889	0.035376501	0.2825	0.474069533	0.000162828	0.000106278	1.652493307	0.00024284	0.000837	NaN	22.9311
66	0.43205149	6.75E-05	0.312288509	0	0.427596288	0.000213789	0.000114472	1.514556801	8.65E-05	0.00167	0.0106	30.12
67	0	0	0.0006	0.13	1.022411371	0.000295	0.00042204	1.444398824	0	9.85E-05	NaN	54.9664
68	0.457293517	2.59E-05	0.484802015	0.1826	0.627919313	0.000160507	0.000120093	1.132400299	6.39E-05	0.000213	NaN	35.1918
69	0.884636596	0.000247016	0.026340501	0.1913	0.53900475	0.000166198	8.86E-05	1.61358318	0.000159726	0.000583	0.0185	22.6543
70	0.317856017	3.30E-05	0.112335504	0	0.850311823	0.000171468	4.78E-05	1.617565006	6.01E-07	1.15E-05	NaN	53.8788
71	0.858391572	9.18E-05	0.024718501	0	0.927555023	0.000213482	3.81E-05	1.520406422	7.46E-06	3.34E-05	NaN	50.3086
72	0.484652884	0.000234883	0.0210305	0	0.57953621	0.000154508	8.58E-05	1.334666627	0.000122998	0.000236	0.00424	21.8925
73	0.735371462	0.000208788	0.036856501	0	0.550039493	0.000179209	8.71E-05	1.593688974	9.64E-05	0.000192	0.00815	18.3596
74	0.957447854	0.000258421	0.028509501	0.5853	0.481496762	0.000191949	9.47E-05	1.50640147	0.000177055	0.0024	0.0554	22.0088
75	0.675846905	0.00022132	0.003104	0	0.587812266	0.000175448	0.000110149	1.556423598	8.71E-05	0.000183	NaN	15.6617
