PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Hand_Qx,Hand_Qy,Hand_Qz,Hand_Qw,Hand_x,Hand_y,Hand_z,ObjectName,Object_Qx,Object_Qy,Object_Qz,Object_Qw,Object_x,Object_y,Object_Qz,Start_Position,1.37E+18,Interface,ID,Finger_Spr.,Succ._Rate,Interface
0.676808134,0.000125638,0.269398509,0.0369,0.508659207,0.235775895,0.0786504,1.632670898,0.000142008,0.00146,-2.00E+05,29.7775,2.00E+07,0.054671312,-0.098320681,-0.700989907,0.704242317,0.437711493,-0.021615073,-0.237838824,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Interactive_markers,1,0.0369,10,1
0.869709136,0.000301382,0.0028805,0.1723,0.798533414,0.16688813,0.000461394,1.56671973,0.000188824,0.000547,0.0243,25.6615,-2.4489,0.437612604,0.580591881,-0.549972012,-0.411021974,0.438468418,-0.003346255,-0.23027524,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Interactive_markers,2,0.1723,10,1
0.907938393,0.000267635,0.0118265,0.0346,0.779010408,0.176053266,0.137000617,1.595150629,0.000156768,0.000492,0.0191,22.8923,-1.92967,-0.437603311,-0.537942177,0.547677651,0.468156755,0.431349424,0.006743955,-0.214908915,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Interactive_markers,3,0.0346,10,1
0.775043508,0.000107957,0.100278503,2.22E-16,0.827393511,0.186537526,0.209079023,1.480212053,6.35E-05,0.000299,-2.00E+05,40.2642,2.00E+07,-0.093911999,0.786831214,0.609789491,-0.015295562,0.408194577,0.018486859,-0.19125626,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Interactive_markers,4,0,0,1
0.796509589,0.000208193,0.042624002,0.1769,0.749301484,0.30496695,0.310355796,1.710623314,5.88E-05,0.00044,-2.00E+05,48.3471,2.00E+07,0.383546436,-0.459193813,-0.533771993,0.597595711,0.480256541,-0.007205441,-0.188195175,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Interactive_markers,6,0.1769,10,1
0.894750184,0.000209395,0.088381502,1.344,0.869622623,0.079169197,0.25210329,3.056634955,0.000155668,0.000235,5.07E-19,29.1344,-0.00705866,0.00098589,0.734451483,0.022278255,-0.678294719,0.426485433,-0.000862824,-0.210180822,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Interactive_markers,7,1.344,10,1
0.889960601,3.86E-05,0.046468501,0.263,0.827605718,0.174401947,0.042217618,1.644083333,0.000113879,0.000511,0.023,34.844,-2.31237,-0.07120004,0.714050874,-0.696227247,0.018152783,0.425054507,-0.017583762,-0.212042405,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Interactive_markers,8,0.263,10,1
0.754462483,0.000141097,0.150273505,1.5534,0.865590698,0.066817083,0.382384977,2.442710905,5.96E-05,0.000653,-2.00E+05,47.8631,2.00E+07,-0.091172017,0.88508584,-0.195716812,-0.412317412,0.442778527,-0.013910846,-0.188871056,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Interactive_markers,9,1.5534,9,1
0.85645417,5.65E-05,0.002502,0,0.802140926,0.174216918,0.161324293,1.562246231,0.000154028,0.000251,0.015,23.2301,-1.50284,-0.003406376,-0.694199717,0.719769576,-0.00262823,0.412336638,-0.00327417,-0.233678449,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Spaceball,1,0,10,2
0.81262331,0.000326365,0.0103005,0.282546,0.779859233,0.172852834,0.131224575,1.367955666,0.000190711,0.000564,0.04,24.7944,-4.01728,0.50821832,-0.473577363,-0.58640839,0.416609915,0.431570254,0.001605219,-0.214933807,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Spaceball,2,0.282546,10,2
0,0,0.31214851,4.44E-16,0.679273308,0.09572706,0.048493458,1.440836986,0.000123198,0.00267,-2.00E+05,30.1029,2.00E+07,-0.483613268,0.515667156,0.574228193,-0.412877189,0.443778802,-0.027872748,-0.216308735,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Spaceball,3,0,10,2
0.749163377,0.000198085,0.0075035,2.22E-16,0.790257357,0.171095593,0.21402992,1.379009557,0.000144978,0.000241,0.00248,23.172,-0.254787,0.602018183,-0.467589722,-0.488296714,0.424853244,0.430008733,0.001143909,-0.21287438,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Spaceball,4,0,10,2
0,0,0.354279509,0,0.317461066,0.498323173,0.386895573,1.562540009,0.000203934,0.0142,0.0379,27.8345,-4.21483,0.7858814,-0.613088306,-0.052840492,0.061000299,0.395103796,0.008378539,-0.201966689,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Spaceball,5,0,10,2
0.88006202,0.000261352,0.026418501,0.1056,0.760336227,0.21453298,0.168348537,1.654873792,0.000107272,0.000578,-2.00E+05,34.2538,2.00E+07,-0.41863041,-0.470878655,0.533932494,0.56385988,0.461759447,0.006642655,-0.212792515,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Spaceball,6,0.1056,10,2
0.880885582,0.000253716,0.0003965,0.1162,0.789832944,0.180895776,0.135396837,1.567225976,0.000140404,0.000558,0.0347,28.265,-3.48284,0.543643039,-0.485310873,-0.457855297,0.509209319,0.44733231,-0.00220834,-0.217603415,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Spaceball,6,0.1162,10,2
0.780160002,0.000273951,0.140702004,2.22E-16,0.734447022,0.167107752,0.008415138,1.725986888,0.000134293,0.000287,-2.00E+05,26.0578,2.00E+07,0.564821942,-0.495833361,0.507134999,-0.42182881,0.390725327,0.023417863,-0.227106647,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Spaceball,7,0,10,2
0.905379454,0.000255854,0.023481501,0.0932,0.816358768,0.174040403,0.095542042,1.558478222,0.000165681,0.000509,0.0143,23.608,-1.44939,0.533592572,-0.506761673,-0.472315707,0.485169504,0.428814413,0.009469237,-0.244443906,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Spaceball,7,0.0932,10,2
0,0,0.066681502,0.09999,0.384942762,0.499995255,0.328585323,1.475484882,0.000286044,0.0268,0.129,36.528,-13.7363,-0.008017496,-0.059415382,0.706084981,-0.705584532,0.424544495,-0.013890918,-0.250706931,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,4,1.37E+18,Spaceball,8,0.09999,6,2
0.904390737,0.000248393,0.0011285,0.0695,0.789196324,0.168808553,0.0956373,1.582552883,0.000134361,0.000522,0.0311,26.4884,-3.12912,0.501825423,-0.488243405,-0.491846389,0.517568112,0.442645425,-0.001765855,-0.224930317,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Spaceball,8,0.0695,10,2
0.847355362,0.000199611,0.0010545,0,0.797684588,0.180024587,0.127666516,1.622633008,0.000164684,0.000251,0.0115,22.5869,-1.15503,-0.480891457,0.54188206,0.491114372,-0.483646475,0.427359235,0.001011733,-0.245490976,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,3,1.37E+18,Spaceball,9,0,10,2
0.839005032,6.99E-05,0.086518503,0,0.758850781,0.186026635,0.038442546,1.546190691,0.000135937,0.000254,0.00324,27.4659,-0.331775,0.03217176,0.724302168,-0.688597406,-0.013599974,0.426555594,0.020984824,-0.219630216,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,2,1.37E+18,Spaceball,10,0,10,2
0.823252461,0.000311567,0.000114,0.3,0.786225431,0.186844723,0.138301697,1.555096268,0.00024727,0.000627,0.0406,23.6834,-4.07999,0.515957238,-0.498416939,-0.491849433,0.493409382,0.426187423,0.001445565,-0.215221285,cdcase,0.707106781,0.707106781,0,0,0.4175,0,-0.295,1,1.37E+18,Gamepad,1,0.3,10,3
