,,,energy_30,,,,energy_40,,,,energy_50,,,,energy_60,,,,,energy_30 (baseline),,,,energy_40 (baseline),,,,energy_50 (baseline),,,,energy_60 (baseline),
BinSize,Confidence,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,AUC,err,precision,recall,,AUC,err,precision,recallAUC,err,precision,recallAUC,err,precision,recallAUC,err,precision,recall
2D
30,0.6,0.512,0.0917,0.7144,0.6939,0.463,0.0475,0.7191,0.9796,0.4422,0.0607,0.7137,0.9933,0.4456,0.056,0.7137,0.9944,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
30,0.7,0.4843,0.1018,0.7212,0.7394,0.453,0.075,0.7211,0.9824,0.4032,0.0838,0.7186,0.9947,0.4452,0.0778,0.7156,0.9881,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
30,0.8,0.4934,0.1266,0.6957,0.6703,0.4321,0.108,0.6995,0.9778,0.4856,0.1377,0.6958,0.982,0.4952,0.1489,0.6926,0.9833,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
30,0.9,nan,nan,0.6772,0.4957,nan,nan,0.7029,0.9725,nan,nan,0.7032,0.9705,nan,nan,0.6891,0.9736,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.5,0.5095,0.085,0.7206,0.6941,0.4583,0.0486,0.7304,0.9803,0.4376,0.0639,0.7268,0.9933,0.4553,0.0472,0.7254,0.9896,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.6,0.5323,0.0887,0.7143,0.6735,0.4621,0.0484,0.7196,0.9799,0.4424,0.0602,0.7143,0.9934,0.4455,0.0566,0.7143,0.9945,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.7,0.5038,0.1057,0.716,0.7202,0.4559,0.0717,0.7174,0.983,0.4036,0.0831,0.7151,0.9949,0.442,0.066,0.7108,0.9885,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.8,0.5348,0.0894,0.696,0.6329,0.4709,0.1484,0.7142,0.9764,0.5111,0.1596,0.7093,0.9802,0.5562,0.1503,0.7057,0.9816,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
40,0.9,nan,nan,0.7029,0.5249,nan,nan,0.7259,0.9729,nan,nan,0.7295,0.9693,nan,nan,0.7113,0.97,,0.5573,0.0459,0.7175,0.3929,0.5183,0.04,0.7298,0.964,0.4753,0.038,0.7266,0.9853,0.476,0.0327,0.725,0.9857,
3D
10,0.5,0.5496,0.0532,0.7782,0.6867,0.4675,0.0506,0.7325,0.9778,0.4457,0.0494,0.7287,0.9869,0.4315,0.0403,0.7284,0.9907,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.6,0.5092,0.0826,0.7474,0.7334,0.4613,0.0491,0.7173,0.9823,0.4239,0.0604,0.7133,0.9965,0.4231,0.0609,0.7135,0.9958,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.7,0.515,0.0828,0.755,0.6884,0.4754,0.0665,0.7103,0.9841,0.4302,0.0743,0.7081,0.9885,0.427,0.0622,0.7071,0.9882,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.8,0.5323,0.0788,0.7461,0.6225,0.4707,0.0772,0.7111,0.9726,0.4843,0.0786,0.7066,0.9851,0.4758,0.094,0.7055,0.988,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
10,0.9,0.5603,0.1264,0.7514,0.5451,0.5245,0.1207,0.6839,0.9568,0.5001,0.128,0.6815,0.9842,0.4847,0.1334,0.6811,0.9789,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.5,0.5573,0.054,0.778,0.6405,0.4714,0.0506,0.7319,0.9751,0.4567,0.0489,0.7281,0.9834,0.4363,0.0442,0.7278,0.9901,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
15,0.6,0.5156,0.0788,0.7484,0.6971,0.4695,0.0569,0.7183,0.9779,0.4432,0.0673,0.715,0.9915,0.438,0.0684,0.7145,0.994,,0.6049,0.0276,0.7787,0.4351,0.522,0.0433,0.7292,0.9625,0.4822,0.043,0.7252,0.9795,0.4651,0.0326,0.7245,0.9844,
